clade	species	ts	te
0.0	128.0	5.2177876297060006	1.6485156626594784
0.0	129.0	2.6969147219955292	0.56460493458384231
0.0	130.0	4.0104714623465503	3.3690213005065877
0.0	131.0	8.7843497798203565	7.9881791378168456
0.0	132.0	10.978903524411594	10.519650015646516
0.0	133.0	1.3610080882731141	0.0
0.0	134.0	14.537518806612779	1.421003673619893
0.0	135.0	2.4106205028785137	0.0
0.0	136.0	1.356077438690823	0.0
0.0	137.0	1.2460082743795904	0.17419774783384645
0.0	138.0	0.81642611825648792	0.58288006139996473
